Year,World GDP (in billions)
1960,1371.94720515118
1961,1445.95058702622
1962,1550.59767060003
1963,1669.56973593723
1964,1830.16840545136
1965,1994.29757626209
1966,2161.75422767523
1967,2293.94373936193
1968,2478.90030200125
1969,2738.14363827334
1970,3003.11628907
1971,3318.57776368485
1972,3833.100090143
1973,4687.59090881755
1974,5418.36999702255
1975,6033.15616002994
1976,6558.6920844689
1977,7414.82479315484
1978,8778.33999233392
1979,10153.8056852617
1980,11449.695442678
1981,11839.946290807
1982,11716.6177893285
1983,11960.0392944893
1984,12424.8795389787
1985,13013.6955439146
1986,15344.2485215263
1987,17466.8689797608
1988,19517.4375023466
1989,20386.7162035052
1990,22987.4022738553
1991,23911.6507509824
1992,25534.2090674577
1993,25958.5467290235
1994,27941.8996378713
1995,31149.6779857903
1996,31866.9009685393
1997,31760.8106444546
1998,31702.6763492481
1999,32747.0889591802
2000,33855.8530332666
2001,33646.0609249369
2002,34940.1718073916
2003,39181.7559079354
2004,44151.098975078
2005,47811.6848402227
2006,51815.3584655221
2007,58389.2181400087
2008,64152.276357317
2009,60814.4987963391
2010,66609.7087347863
2011,74080.8377762463
2012,75705.8540388891
2013,77873.446166547
2014,80020.3376446363
2015,75472.4738828351
2016,76702.5536258991
2017,81712.0433505155
2018,86884.8395544316
